state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
Karnataka,Honnakatte,Nil,12.969759681379283,74.80477918965846,2022-07-08,Friday,2022-07-09,July,Van,Truck,1,0,40,Male,NH,Hit From Side
Rajasthan,Devda,Nil,25.20904419373625,72.65401000879267,2022-07-09,Saturday,2022-07-10,July,Car,Truck,2,2,"47,40",Both,OR,Others
Rajasthan,Nagaur,Nil,27.189910951383663,73.73178246564869,2022-07-10,Sunday,2022-07-10,July,Car,Truck,1,5,,Female,SH,Others
Rajasthan,Chandana,Nil,25.13991361973657,72.70419354021021,2022-07-10,Sunday,2022-07-10,July,Car,Truck,2,3,,,OR,Head On Collision
Madhya Pradesh,Boliya,Nil,24.239274613710077,75.80586402789265,2022-07-08,Friday,2022-07-10,July,Two Wheeler,Nil,2,3,,,OR,Run Off Road
West Bengal,Langolpota,Kolkata,22.625983068705604,88.51289893730716,2022-07-10,Sunday,2022-07-10,July,Car,Bus,1,0,22,Male,SH,With Parked Vehicle
Andhra Pradesh,Gandhi Nagar,Nil,13.601237808634934,79.36717647544104,2022-07-10,Sunday,2022-07-10,July,Car,Divider,2,1,"30,12",Both,OR,Fixed Object Collision
Punjab,Batala,Nil,31.823734052480383,75.17505278764587,2022-07-10,Sunday,2022-07-10,July,Car,Divider,3,2,,Male,NH,Fixed Object Collision
Uttar Pradesh,Lucknow-Sultanpur Highway,Lucknow,26.796373817934697,81.01197823523033,2022-07-07,Thursday,2022-07-10,July,Car,Truck,2,2,"23,25",Both,NH,With Parked Vehicle
Uttar Pradesh,Gagalheri,Nil,29.97728356993806,77.6632346561554,2022-07-10,Sunday,2022-07-11,July,Two Wheeler,Tractor,1,1,28,Male,NH,Head On Collision
Karnataka,Mavinakatte,Nil,13.653963448735668,74.7660410841964,2022-07-10,Sunday,2022-07-11,July,Two Wheeler,SUV,2,0,"25,33",Both,OR,Head On Collision
Madhya Pradesh,Bhandari Resort,Indore,22.72911823192714,75.93317337333046,2022-07-10,Sunday,2022-07-11,July,Two Wheeler,Car,1,1,,Male,NH,Others
Madhya Pradesh,Guraiya,Nil,24.845464468826084,79.61269309616695,2022-07-09,Saturday,2022-07-11,July,Two Wheeler,Two Wheeler,2,1,"32,1",Male,OR,Head On Collision
Odisha,Badbahal,Nil,21.811169049664613,84.20562287672573,2022-07-12,Tuesday,2022-07-12,July,Auto Rickshaw,SUV,3,3,,,NH,Others
Odisha,Gada Khorda,Nil,20.167745771831928,85.62392919097132,2022-07-12,Tuesday,2022-07-12,July,Bus,Truck,1,8,,,OR,Others
Delhi,Greater Kailash,Delhi,28.535099762662885,77.23697563964855,2022-07-12,Tuesday,2022-07-12,July,Pedestrian,Car,1,0,46,Male,OR,Hit and Run
Uttar Pradesh,Tilpata,Nil,28.52940835767539,77.52975306207016,2022-07-11,Monday,2022-07-12,July,Two Wheeler,Truck,1,1,45,Female,OR,Hit From Back
Uttar Pradesh,Rabupura,Nil,28.252820542985265,77.60293721555867,2022-07-10,Sunday,2022-07-12,July,Two Wheeler,Nil,1,0,48,Male,OR,Run Off Road
Himachal Pradesh,Deepak Tal,Nil,32.75245602481399,77.25571991130239,2022-07-13,Wednesday,2022-07-13,July,Truck,Gorge,3,3,,,NH,Vehicle Overturn
West Bengal,Rabindra Bithi Bypass Rd,Nil,23.65521833297628,87.6887522434982,2022-07-12,Tuesday,2022-07-13,July,Two Wheeler,Divider,1,0,36,Male,OR,Fixed Object Collision
